title,pred_note_accuracy,pred_pitch_accuracy,pred_lyric_cer,SV2_note_accuracy,SV2_pitch_accuracy,SV2_lyric_cer,recorded_date
1,0.5546875,0.884469696969697,0.1652892561983471,0.0,0.9018939392758366,0.4958677685950413,2026/01/07 08:07:01
2,0.3175675675675675,0.603448275862069,0.1884057971014492,0.0,0.8547054599289429,0.181159420289855,2026/01/07 08:07:38
3,0.37,0.5721153846153846,0.1041666666666666,0.0,0.8822916667893119,0.2395833333333333,2026/01/07 08:08:12
4,0.3374233128834356,0.592741935483871,0.131578947368421,0.0,0.7130040323037817,0.3618421052631579,2026/01/07 08:08:46
5,0.3580246913580246,0.6837606837606838,0.5384615384615384,0.0,0.8825683768072756,0.478021978021978,2026/01/07 08:09:31
6,0.6076555023923444,0.8791666666666667,0.0989583333333333,0.0,0.9242754630574452,0.2447916666666666,2026/01/07 08:10:29
7,0.0539215686274509,0.3039772727272727,0.1739130434782608,0.0,0.5860061553030304,0.4492753623188406,2026/01/07 08:11:18
8,0.1712707182320442,0.4527777777777778,0.1818181818181818,0.0165745856353591,0.7785740742709121,0.4181818181818181,2026/01/07 08:12:09
9,0.4642857142857143,0.7663934426229508,0.1700680272108843,0.0,0.7852322405417085,0.2789115646258503,2026/01/07 08:12:58
10,0.0802469135802469,0.2662037037037037,0.0974025974025974,0.0,0.7940470679209184,0.461038961038961,2026/01/07 08:14:04
11,0.2606382978723404,0.657608695652174,0.3408071748878923,0.0,0.8221096013876565,0.4170403587443946,2026/01/07 08:15:02
12,0.1278195488721804,0.3555555555555555,0.3933333333333333,0.0,0.4154398148384354,0.5066666666666667,2026/01/07 08:16:01
13,0.1636363636363636,0.4539007092198581,0.15527950310559,0.0,0.6800975177556247,0.2422360248447205,2026/01/07 08:17:08
14,0.2,0.5203804347826086,0.1182266009852216,0.0093023255813953,0.8572282609003746,0.3645320197044335,2026/01/07 08:18:02
15,0.2921348314606741,0.4268292682926829,0.1796407185628742,0.0,0.5440777439110807,0.1616766467065868,2026/01/07 08:18:48
16,0.336283185840708,0.6627358490566038,0.2519083969465648,0.0,0.939465408764921,0.4274809160305343,2026/01/07 08:19:35
17,0.2164948453608247,0.8321759259259259,0.1055276381909547,0.0,0.8742013888987308,0.3567839195979899,2026/01/07 08:20:15
18,0.5229357798165137,0.8480392156862745,0.2509505703422053,0.0091743119266055,0.8943627452091948,0.7376425855513308,2026/01/07 08:21:14
19,0.0761421319796954,0.3290816326530612,0.0918918918918919,0.0,0.8213456633159216,0.427027027027027,2026/01/07 08:22:05
20,0.1779661016949152,0.3988095238095238,0.102803738317757,0.0,0.5781309522965933,0.2990654205607476,2026/01/07 08:22:28
21,0.1041666666666666,0.4441287878787879,0.2472527472527472,0.0,0.8843986742665816,0.5274725274725275,2026/01/07 08:23:11
22,0.556390977443609,0.8125,0.1171875,0.0,0.8881629464159175,0.55078125,2026/01/07 08:24:17
23,0.3879781420765027,0.668859649122807,0.3352272727272727,0.0,0.8473135965720352,0.4659090909090909,2026/01/07 08:25:46
24,0.0956521739130434,0.3555555555555555,0.1188118811881188,0.0,0.8285866666666667,0.292079207920792,2026/01/07 08:26:57
25,0.1453488372093023,0.325,0.1585365853658536,0.0,0.8603566667162699,0.3719512195121951,2026/01/07 08:28:01
26,0.0294117647058823,0.2315340909090909,0.1739130434782608,0.0073529411764705,0.4571401515151515,0.5289855072463768,2026/01/07 08:29:00
